yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P63208	P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
P63244	P63244	RACK1_HUMAN	reviewed	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
P63261	P63261	ACTG_HUMAN	reviewed	Actin, cytoplasmic 2 (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375
P67809	P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
P68032	P68032	ACTC_HUMAN	reviewed	Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	Homo sapiens (Human)	377
Q5VTE0	Q5VTE0	EF1A3_HUMAN	reviewed	Putative elongation factor 1-alpha-like 3 (EF-1-alpha-like 3) (Eukaryotic elongation factor 1 A-like 3) (eEF1A-like 3) (Eukaryotic translation elongation factor 1 alpha-1 pseudogene 5)	EEF1A1P5 EEF1AL3	Homo sapiens (Human)	462
P68363	P68363	TBA1B_HUMAN	reviewed	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451
P68366	P68366	TBA4A_HUMAN	reviewed	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448
P68371	P68371	TBB4B_HUMAN	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445
Q71DI3	Q71DI3	H32_HUMAN	reviewed	Histone H3.2 (Histone H3/m) (Histone H3/o)	HIST2H3A; HIST2H3C H3F2 H3FM; HIST2H3D	Homo sapiens (Human)	136
P68871	P68871	HBB_HUMAN	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	HBB	Homo sapiens (Human)	147
P69905	P69905	HBA_HUMAN	reviewed	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)	HBA1; HBA2	Homo sapiens (Human)	142
Q08477	Q08477	CP4F3_HUMAN	reviewed	Docosahexaenoic acid omega-hydroxylase CYP4F3 (EC 1.14.14.79) (20-hydroxyeicosatetraenoic acid synthase) (20-HETE synthase) (EC 1.14.14.-) (CYPIVF3) (Cytochrome P450 4F3) (Cytochrome P450-LTB-omega) (Leukotriene-B(4) 20-monooxygenase 2) (Leukotriene-B(4) omega-hydroxylase 2) (EC 1.14.14.94)	CYP4F3 LTB4H	Homo sapiens (Human)	520
P78362	P78362	SRPK2_HUMAN	reviewed	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2	Homo sapiens (Human)	688
P78371	P78371	TCPB_HUMAN	reviewed	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	CCT2 99D8.1 CCTB	Homo sapiens (Human)	535
P78527	P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128
P80188	P80188	NGAL_HUMAN	reviewed	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin) (p25)	LCN2 HNL NGAL	Homo sapiens (Human)	198
P80192	P80192	M3K9_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)	1104
P80404	P80404	GABT_HUMAN	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	Homo sapiens (Human)	500
P80748	P80748	LV321_HUMAN	reviewed	Immunoglobulin lambda variable 3-21 (Ig lambda chain V-III region LOI) (Ig lambda chain V-V region DEL) (Ig lambda chain V-VII region MOT)	IGLV3-21	Homo sapiens (Human)	117
P81605	P81605	DCD_HUMAN	reviewed	Dermcidin (EC 3.4.-.-) (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1]	DCD AIDD DSEP	Homo sapiens (Human)	110
P82094	P82094	TMF1_HUMAN	reviewed	TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)	TMF1 ARA160	Homo sapiens (Human)	1093
P82650	P82650	RT22_HUMAN	reviewed	28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt) (Mitochondrial small ribosomal subunit protein mS22)	MRPS22 C3orf5 RPMS22 GK002	Homo sapiens (Human)	360
P82933	P82933	RT09_HUMAN	reviewed	28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)	MRPS9 RPMS9	Homo sapiens (Human)	396
P82979	P82979	SARNP_HUMAN	reviewed	SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)	SARNP HCC1 HSPC316	Homo sapiens (Human)	210
P83731	P83731	RL24_HUMAN	reviewed	60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)	RPL24	Homo sapiens (Human)	157
P83916	P83916	CBX1_HUMAN	reviewed	Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta)	CBX1 CBX	Homo sapiens (Human)	185
P84085	P84085	ARF5_HUMAN	reviewed	ADP-ribosylation factor 5	ARF5	Homo sapiens (Human)	180
P84090	P84090	ERH_HUMAN	reviewed	Enhancer of rudimentary homolog	ERH	Homo sapiens (Human)	104
P84098	P84098	RL19_HUMAN	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	RPL19	Homo sapiens (Human)	196
P84103	P84103	SRSF3_HUMAN	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	SRSF3 SFRS3 SRP20	Homo sapiens (Human)	164
P86452	P86452	ZBED6_HUMAN	reviewed	Zinc finger BED domain-containing protein 6	ZBED6	Homo sapiens (Human)	979
P98095	P98095	FBLN2_HUMAN	reviewed	Fibulin-2 (FIBL-2)	FBLN2	Homo sapiens (Human)	1184
P98160	P98160	PGBM_HUMAN	reviewed	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]	HSPG2	Homo sapiens (Human)	4391
P98177	P98177	FOXO4_HUMAN	reviewed	Forkhead box protein O4 (Fork head domain transcription factor AFX1)	FOXO4 AFX AFX1 MLLT7	Homo sapiens (Human)	505
Q00169	Q00169	PIPNA_HUMAN	reviewed	Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha)	PITPNA PITPN	Homo sapiens (Human)	270
Q00266	Q00266	METK1_HUMAN	reviewed	S-adenosylmethionine synthase isoform type-1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1) (Methionine adenosyltransferase I/III) (MAT-I/III)	MAT1A AMS1 MATA1	Homo sapiens (Human)	395
Q00325	Q00325	MPCP_HUMAN	reviewed	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	SLC25A3 PHC OK/SW-cl.48	Homo sapiens (Human)	362
Q00341	Q00341	VIGLN_HUMAN	reviewed	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	HDLBP HBP VGL	Homo sapiens (Human)	1268
Q00537	Q00537	CDK17_HUMAN	reviewed	Cyclin-dependent kinase 17 (EC 2.7.11.22) (Cell division protein kinase 17) (PCTAIRE-motif protein kinase 2) (Serine/threonine-protein kinase PCTAIRE-2)	CDK17 PCTAIRE2 PCTK2	Homo sapiens (Human)	523
Q00610	Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675
Q00796	Q00796	DHSO_HUMAN	reviewed	Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase)	SORD	Homo sapiens (Human)	357
Q00839	Q00839	HNRPU_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	825
Q01082	Q01082	SPTB2_HUMAN	reviewed	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	2364
Q01105	Q01105	SET_HUMAN	reviewed	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
Q01130	Q01130	SRSF2_HUMAN	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221
Q01469	Q01469	FABP5_HUMAN	reviewed	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	FABP5	Homo sapiens (Human)	135
Q01484	Q01484	ANK2_HUMAN	reviewed	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	ANK2 ANKB	Homo sapiens (Human)	3957
Q01518	Q01518	CAP1_HUMAN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475
Q01546	Q01546	K22O_HUMAN	reviewed	Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)	KRT76 KRT2B KRT2P	Homo sapiens (Human)	638
Q01813	Q01813	PFKAP_HUMAN	reviewed	ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)	PFKP PFKF	Homo sapiens (Human)	784
Q01995	Q01995	TAGL_HUMAN	reviewed	Transgelin (22 kDa actin-binding protein) (Protein WS3-10) (Smooth muscle protein 22-alpha) (SM22-alpha)	TAGLN SM22 WS3-10	Homo sapiens (Human)	201
Q02040	Q02040	AK17A_HUMAN	reviewed	A-kinase anchor protein 17A (AKAP-17A) (721P) (B-lymphocyte antigen) (Protein XE7) (Protein kinase A-anchoring protein 17A) (PRKA17A) (Splicing factor, arginine/serine-rich 17A)	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	Homo sapiens (Human)	695
Q02218	Q02218	ODO1_HUMAN	reviewed	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)	OGDH	Homo sapiens (Human)	1023
Q02252	Q02252	MMSA_HUMAN	reviewed	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (Malonate-semialdehyde dehydrogenase [acylating]) (EC 1.2.1.18) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1)	ALDH6A1 MMSDH	Homo sapiens (Human)	535
Q02318	Q02318	CP27A_HUMAN	reviewed	Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)	CYP27A1 CYP27	Homo sapiens (Human)	531
Q02338	Q02338	BDH_HUMAN	reviewed	D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH) (Short chain dehydrogenase/reductase family 9C member 1)	BDH1 BDH SDR9C1	Homo sapiens (Human)	343
Q02388	Q02388	CO7A1_HUMAN	reviewed	Collagen alpha-1(VII) chain (Long-chain collagen) (LC collagen)	COL7A1	Homo sapiens (Human)	2944
Q02413	Q02413	DSG1_HUMAN	reviewed	Desmoglein-1 (Cadherin family member 4) (Desmosomal glycoprotein 1) (DG1) (DGI) (Pemphigus foliaceus antigen)	DSG1 CDHF4	Homo sapiens (Human)	1049
Q02487	Q02487	DSC2_HUMAN	reviewed	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)	DSC2 CDHF2 DSC3	Homo sapiens (Human)	901
Q02543	Q02543	RL18A_HUMAN	reviewed	60S ribosomal protein L18a (Large ribosomal subunit protein eL20)	RPL18A	Homo sapiens (Human)	176
Q02809	Q02809	PLOD1_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	Homo sapiens (Human)	727
Q02817	Q02817	MUC2_HUMAN	reviewed	Mucin-2 (MUC-2) (Intestinal mucin-2)	MUC2 SMUC	Homo sapiens (Human)	5179
Q02818	Q02818	NUCB1_HUMAN	reviewed	Nucleobindin-1 (CALNUC)	NUCB1 NUC	Homo sapiens (Human)	461
Q02878	Q02878	RL6_HUMAN	reviewed	60S ribosomal protein L6 (Large ribosomal subunit protein eL6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107) (TaxREB107)	RPL6 TXREB1	Homo sapiens (Human)	288
Q02978	Q02978	M2OM_HUMAN	reviewed	Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (Solute carrier family 25 member 11)	SLC25A11 SLC20A4	Homo sapiens (Human)	314
Q03001	Q03001	DYST_HUMAN	reviewed	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
Q03135	Q03135	CAV1_HUMAN	reviewed	Caveolin-1	CAV1 CAV	Homo sapiens (Human)	178
Q03252	Q03252	LMNB2_HUMAN	reviewed	Lamin-B2	LMNB2 LMN2	Homo sapiens (Human)	620
Q03426	Q03426	KIME_HUMAN	reviewed	Mevalonate kinase (MK) (EC 2.7.1.36)	MVK	Homo sapiens (Human)	396
Q03518	Q03518	TAP1_HUMAN	reviewed	Antigen peptide transporter 1 (APT1) (ATP-binding cassette sub-family B member 2) (Peptide supply factor 1) (Peptide transporter PSF1) (PSF-1) (Peptide transporter TAP1) (Peptide transporter involved in antigen processing 1) (Really interesting new gene 4 protein)	TAP1 ABCB2 PSF1 RING4 Y3	Homo sapiens (Human)	808
Q03519	Q03519	TAP2_HUMAN	reviewed	Antigen peptide transporter 2 (APT2) (ATP-binding cassette sub-family B member 3) (Peptide supply factor 2) (Peptide transporter PSF2) (PSF-2) (Peptide transporter TAP2) (Peptide transporter involved in antigen processing 2) (Really interesting new gene 11 protein)	TAP2 ABCB3 PSF2 RING11 Y1	Homo sapiens (Human)	686
Q04206	Q04206	TF65_HUMAN	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	Homo sapiens (Human)	551
Q04446	Q04446	GLGB_HUMAN	reviewed	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)	GBE1	Homo sapiens (Human)	702
Q04637	Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
Q04828	Q04828	AK1C1_HUMAN	reviewed	Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1/2) (DD1/DD2) (High-affinity hepatic bile acid-binding protein) (HBAB) (Indanol dehydrogenase) (EC 1.1.1.112) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C1 DDH DDH1	Homo sapiens (Human)	323
Q04837	Q04837	SSBP_HUMAN	reviewed	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	SSBP1 SSBP	Homo sapiens (Human)	148
Q04941	Q04941	PLP2_HUMAN	reviewed	Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein)	PLP2 A4	Homo sapiens (Human)	152
Q05481	Q05481	ZNF91_HUMAN	reviewed	Zinc finger protein 91 (Zinc finger protein HPF7) (Zinc finger protein HTF10)	ZNF91	Homo sapiens (Human)	1191
Q05519	Q05519	SRS11_HUMAN	reviewed	Serine/arginine-rich splicing factor 11 (Arginine-rich 54 kDa nuclear protein) (p54) (Splicing factor, arginine/serine-rich 11)	SRSF11 SFRS11	Homo sapiens (Human)	484
Q05682	Q05682	CALD1_HUMAN	reviewed	Caldesmon (CDM)	CALD1 CAD CDM	Homo sapiens (Human)	793
Q05707	Q05707	COEA1_HUMAN	reviewed	Collagen alpha-1(XIV) chain (Undulin)	COL14A1 UND	Homo sapiens (Human)	1796
Q06210	Q06210	GFPT1_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	699
Q06278	Q06278	AOXA_HUMAN	reviewed	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	Homo sapiens (Human)	1338
Q06520	Q06520	ST2A1_HUMAN	reviewed	Bile salt sulfotransferase (EC 2.8.2.14) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (ST2A3) (Sulfotransferase 2A1) (ST2A1)	SULT2A1 HST STD	Homo sapiens (Human)	285
Q06828	Q06828	FMOD_HUMAN	reviewed	Fibromodulin (FM) (Collagen-binding 59 kDa protein) (Keratan sulfate proteoglycan fibromodulin) (KSPG fibromodulin)	FMOD FM SLRR2E	Homo sapiens (Human)	376
Q06830	Q06830	PRDX1_HUMAN	reviewed	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)	199
Q07020	Q07020	RL18_HUMAN	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	RPL18	Homo sapiens (Human)	188
Q07021	Q07021	C1QBP_HUMAN	reviewed	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282
Q07065	Q07065	CKAP4_HUMAN	reviewed	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	CKAP4	Homo sapiens (Human)	602
Q07092	Q07092	COGA1_HUMAN	reviewed	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604
Q07157	Q07157	ZO1_HUMAN	reviewed	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	Homo sapiens (Human)	1748
Q07507	Q07507	DERM_HUMAN	reviewed	Dermatopontin (Tyrosine-rich acidic matrix protein) (TRAMP)	DPT	Homo sapiens (Human)	201
Q07654	Q07654	TFF3_HUMAN	reviewed	Trefoil factor 3 (Intestinal trefoil factor) (hITF) (Polypeptide P1.B) (hP1.B)	TFF3 ITF TFI	Homo sapiens (Human)	94
Q07954	Q07954	LRP1_HUMAN	reviewed	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	Homo sapiens (Human)	4544
Q07955	Q07955	SRSF1_HUMAN	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
Q07960	Q07960	RHG01_HUMAN	reviewed	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	Homo sapiens (Human)	439
Q08188	Q08188	TGM3_HUMAN	reviewed	Protein-glutamine gamma-glutamyltransferase E (EC 2.3.2.13) (Transglutaminase E) (TG(E)) (TGE) (TGase E) (Transglutaminase-3) (TGase-3) [Cleaved into: Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain; Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain]	TGM3	Homo sapiens (Human)	693
Q08211	Q08211	DHX9_HUMAN	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	Homo sapiens (Human)	1270
Q08345	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
Q08379	Q08379	GOGA2_HUMAN	reviewed	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)	GOLGA2	Homo sapiens (Human)	1002
Q08380	Q08380	LG3BP_HUMAN	reviewed	Galectin-3-binding protein (Basement membrane autoantigen p105) (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (MAC2BP) (Mac-2 BP) (Tumor-associated antigen 90K)	LGALS3BP M2BP	Homo sapiens (Human)	585
Q08426	Q08426	ECHP_HUMAN	reviewed	Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	EHHADH ECHD	Homo sapiens (Human)	723
Q08554	Q08554	DSC1_HUMAN	reviewed	Desmocollin-1 (Cadherin family member 1) (Desmosomal glycoprotein 2/3) (DG2/DG3)	DSC1 CDHF1	Homo sapiens (Human)	894
Q08830	Q08830	FGL1_HUMAN	reviewed	Fibrinogen-like protein 1 (HP-041) (Hepassocin) (HPS) (Hepatocyte-derived fibrinogen-related protein 1) (HFREP-1) (Liver fibrinogen-related protein 1) (LFIRE-1)	FGL1 HFREP1	Homo sapiens (Human)	312
